symbol,exchange,datetime,open,high,low,close,volume,turnover,open_interest
c2611,DCE,2026-09-23 09:00:00,2187.0,2188.0,2186.0,2188.0,4009.0,0.0,1193902.0
c2611,DCE,2026-09-23 09:01:00,2188.0,2189.0,2187.0,2188.0,3043.0,0.0,1193422.0
c2611,DCE,2026-09-23 09:02:00,2188.0,2188.0,2186.0,2187.0,3423.0,0.0,1192733.0
c2611,DCE,2026-09-23 09:03:00,2187.0,2187.0,2186.0,2187.0,2245.0,0.0,1192080.0
c2611,DCE,2026-09-23 09:04:00,2187.0,2187.0,2185.0,2185.0,3470.0,0.0,1191895.0
c2611,DCE,2026-09-23 09:05:00,2185.0,2186.0,2184.0,2184.0,2844.0,0.0,1191142.0
c2611,DCE,2026-09-23 09:06:00,2184.0,2186.0,2184.0,2185.0,2399.0,0.0,1191216.0
c2611,DCE,2026-09-23 09:07:00,2185.0,2188.0,2185.0,2188.0,4450.0,0.0,1191747.0
c2611,DCE,2026-09-23 09:08:00,2188.0,2190.0,2188.0,2190.0,4564.0,0.0,1192710.0
c2611,DCE,2026-09-23 09:09:00,2190.0,2190.0,2189.0,2190.0,3397.0,0.0,1192599.0
c2611,DCE,2026-09-23 09:10:00,2190.0,2190.0,2189.0,2190.0,989.0,0.0,1193078.0
c2611,DCE,2026-09-23 09:11:00,2190.0,2191.0,2190.0,2190.0,7185.0,0.0,1192775.0
c2611,DCE,2026-09-23 09:12:00,2190.0,2191.0,2189.0,2191.0,3223.0,0.0,1194434.0
c2611,DCE,2026-09-23 09:13:00,2191.0,2191.0,2190.0,2190.0,812.0,0.0,1194786.0
c2611,DCE,2026-09-23 09:14:00,2190.0,2191.0,2190.0,2190.0,722.0,0.0,1194913.0
c2611,DCE,2026-09-23 09:15:00,2190.0,2191.0,2190.0,2191.0,882.0,0.0,1194857.0
c2611,DCE,2026-09-23 09:16:00,2191.0,2191.0,2190.0,2191.0,645.0,0.0,1195014.0
c2611,DCE,2026-09-23 09:17:00,2191.0,2192.0,2190.0,2190.0,4520.0,0.0,1194903.0
c2611,DCE,2026-09-23 09:18:00,2190.0,2191.0,2189.0,2190.0,3781.0,0.0,1195647.0
c2611,DCE,2026-09-23 09:19:00,2190.0,2190.0,2189.0,2189.0,1301.0,0.0,1196980.0
c2611,DCE,2026-09-23 09:20:00,2189.0,2190.0,2188.0,2188.0,1460.0,0.0,1196633.0
c2611,DCE,2026-09-23 09:21:00,2188.0,2189.0,2187.0,2188.0,4483.0,0.0,1196517.0
c2611,DCE,2026-09-23 09:22:00,2188.0,2189.0,2187.0,2188.0,1607.0,0.0,1197300.0
c2611,DCE,2026-09-23 09:23:00,2188.0,2190.0,2187.0,2190.0,1666.0,0.0,1197322.0
c2611,DCE,2026-09-23 09:24:00,2190.0,2190.0,2189.0,2190.0,342.0,0.0,1197652.0
c2611,DCE,2026-09-23 09:25:00,2190.0,2190.0,2189.0,2189.0,878.0,0.0,1197773.0
c2611,DCE,2026-09-23 09:26:00,2189.0,2190.0,2188.0,2188.0,1421.0,0.0,1198039.0
c2611,DCE,2026-09-23 09:27:00,2188.0,2189.0,2188.0,2189.0,869.0,0.0,1198358.0
c2611,DCE,2026-09-23 09:28:00,2189.0,2189.0,2187.0,2187.0,1402.0,0.0,1198527.0
