2026-09-23 09:13:02.365 | INFO | MainEngine | 连接登录 -> CTP
2026-09-23 09:13:02.864 | INFO | CTP | 交易服务器连接成功
2026-09-23 09:13:03.316 | INFO | CTP | 交易服务器授权验证成功
2026-09-23 09:13:03.363 | INFO | CTP | 交易服务器登录成功
2026-09-23 09:13:03.728 | INFO | CTP | 行情服务器连接成功
2026-09-23 09:13:03.783 | INFO | CTP | 行情服务器登录成功
2026-09-23 09:13:11.975 | INFO | CTP | 结算信息确认成功
2026-09-23 09:13:29.379 | INFO | CtaStrategy | CTA策略引擎初始化成功
2026-09-23 09:13:31.349 | INFO | CtaStrategy | wqk27开始执行初始化
2026-09-23 09:13:31.350 | INFO | CtaStrategy | [wqk27]  DoubleMaStrategy V2.7 initialized ExecutionCore 2.3.1
2026-09-23 09:13:41.136 | INFO | MainEngine | 订阅行情 -> CTP：SubscribeRequest(symbol='c2611', exchange=<Exchange.DCE: 'DCE'>)
2026-09-23 09:13:41.136 | INFO | CtaStrategy | wqk27初始化完成
2026-09-23 09:15:04.036 | INFO | CtaStrategy | [wqk27]  DoubleMaStrategy V2.7 启动
2026-09-23 09:15:04.059 | INFO | CtaStrategy | [wqk27]  成交账本已加载: C:\Users\Administrator\strategies\ledger\wqk27_c2611_DCE.sqlite (0 条)
2026-09-23 09:15:04.060 | INFO | CtaStrategy | [wqk27]  已订阅 EVENT_TIMER / EVENT_POSITION
2026-09-23 09:15:04.060 | INFO | CtaStrategy | [wqk27]  持仓同步开始：策略启动
2026-09-23 09:15:04.062 | INFO | CtaStrategy | [wqk27]  已向柜台查询委托，等待回报后再对账。
2026-09-23 09:15:04.062 | INFO | CtaStrategy | [wqk27]  持仓同步结束：system=SYNCING_ORDERS, reason=NONE, strategy_pos=0, account_pos=0, msg=持仓已同步 account_pos=0，开始同步活动订单
2026-09-23 09:15:04.063 | INFO | CtaStrategy | [wqk27]  [V2.7 TREND] ADX=23.08944529936948 +DI=8.331195223343581 -DI=13.039829191421376 candidate=NONE confirm=0/2 state=RANGE
2026-09-23 09:15:04.063 | INFO | CtaStrategy | [wqk27]  [V2.7 REGIME] ADX=RANGE MA=BEAR BB=NEUTRAL direction=BEAR Final=RANGE reason=ADX_RANGE
2026-09-23 09:15:12.104 | INFO | CtaStrategy | [wqk27]  柜台委托查询超时，退回本进程内存对账
2026-09-23 09:15:15.105 | INFO | CtaStrategy | [wqk27]  私有流空闲后按本进程无挂单放行（非柜台 query_order）
2026-09-23 09:16:01.384 | INFO | CtaStrategy | [wqk27]  [V2.7 ENTRY FILTER] regime=RANGE signal=DEATH_CROSS action=BLOCK reason=NO_TREND ADX=RANGE BB=NEUTRAL MA=BEAR fast=2192.5000 slow=2192.8000
2026-09-23 09:17:50.133 | INFO | CTP | 合约信息查询成功
2026-09-23 09:21:01.383 | INFO | CtaStrategy | [wqk27]  [V2.7 BB STATE] old=NEUTRAL new=EXPANSION percentile=81.67% bw=0.0032925566394809446 release_count=9 direction=BEAR
2026-09-23 09:24:01.093 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=BEAR new=NEUTRAL fast=2189.4000 slow=2191.2500
2026-09-23 09:25:01.386 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=NEUTRAL new=BEAR fast=2189.3000 slow=2191.1000
2026-09-23 09:31:01.366 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=BEAR new=NEUTRAL fast=2188.3000 slow=2189.3000
2026-09-23 09:32:01.072 | INFO | CtaStrategy | [wqk27]  [V2.7 TREND] ADX=30.259792509630167 +DI=6.178989849533833 -DI=20.29670783130282 candidate=SHORT confirm=1/2 state=RANGE
2026-09-23 09:32:01.072 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=NEUTRAL new=BEAR fast=2188.1000 slow=2188.9500
2026-09-23 09:33:01.373 | INFO | CtaStrategy | [wqk27]  [V2.7 TREND] ADX=31.905954320075132 +DI=5.894761453866155 -DI=19.361620408527937 candidate=SHORT confirm=2/2 state=SHORT
2026-09-23 09:33:01.374 | INFO | CtaStrategy | [wqk27]  [V2.7 REGIME] ADX=SHORT MA=BEAR BB=EXPANSION direction=BEAR Final=SHORT reason=REGIME_SHORT
2026-09-23 09:37:01.080 | INFO | CtaStrategy | [wqk27]  [V2.7 BB STATE] old=EXPANSION new=NEUTRAL percentile=79.17% bw=0.003801337317103635 release_count=0 direction=BEAR
2026-09-23 09:39:01.703 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=BEAR new=NEUTRAL fast=2186.2000 slow=2187.3500
2026-09-23 09:39:01.703 | INFO | CtaStrategy | [wqk27]  [V2.7 REGIME] ADX=SHORT MA=NEUTRAL BB=NEUTRAL direction=BEAR Final=RANGE reason=REGIME_SHORT_MA_NEUTRAL
2026-09-23 09:40:01.407 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=NEUTRAL new=BEAR fast=2186.1000 slow=2187.2000
2026-09-23 09:40:01.408 | INFO | CtaStrategy | [wqk27]  [V2.7 REGIME] ADX=SHORT MA=BEAR BB=NEUTRAL direction=BEAR Final=SHORT reason=REGIME_SHORT
2026-09-23 09:41:01.392 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=BEAR new=NEUTRAL fast=2186.1000 slow=2187.2000
2026-09-23 09:41:01.393 | INFO | CtaStrategy | [wqk27]  [V2.7 REGIME] ADX=SHORT MA=NEUTRAL BB=NEUTRAL direction=BULL Final=RANGE reason=REGIME_SHORT_MA_NEUTRAL
2026-09-23 09:46:01.109 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=NEUTRAL new=BEAR fast=2186.4000 slow=2186.5000
2026-09-23 09:46:01.109 | INFO | CtaStrategy | [wqk27]  [V2.7 REGIME] ADX=SHORT MA=BEAR BB=NEUTRAL direction=BEAR Final=SHORT reason=REGIME_SHORT
2026-09-23 09:47:01.383 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=BEAR new=NEUTRAL fast=2186.4000 slow=2186.4000
2026-09-23 09:47:01.383 | INFO | CtaStrategy | [wqk27]  [V2.7 REGIME] ADX=SHORT MA=NEUTRAL BB=NEUTRAL direction=BEAR Final=RANGE reason=REGIME_SHORT_MA_NEUTRAL
2026-09-23 09:48:01.113 | INFO | CtaStrategy | [wqk27]  [V2.7 ENTRY FILTER] regime=RANGE signal=GOLDEN_CROSS action=BLOCK reason=NO_TREND ADX=SHORT BB=NEUTRAL MA=NEUTRAL fast=2186.4000 slow=2186.3000
2026-09-23 09:49:01.111 | INFO | CtaStrategy | [wqk27]  [V2.7 TREND] ADX=29.43555406478066 +DI=10.927382115833046 -DI=14.336877072933667 candidate=NONE confirm=0/2 state=RANGE
2026-09-23 09:49:01.112 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=NEUTRAL new=BEAR fast=2186.3000 slow=2186.2500
2026-09-23 09:49:01.112 | INFO | CtaStrategy | [wqk27]  [V2.7 REGIME] ADX=RANGE MA=BEAR BB=NEUTRAL direction=BEAR Final=RANGE reason=ADX_RANGE
2026-09-23 09:51:01.391 | INFO | CtaStrategy | [wqk27]  [V2.7 ENTRY FILTER] regime=RANGE signal=DEATH_CROSS action=BLOCK reason=NO_TREND ADX=RANGE BB=NEUTRAL MA=BEAR fast=2186.0000 slow=2186.0500
2026-09-23 09:52:01.138 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=BEAR new=NEUTRAL fast=2185.9000 slow=2186.0500
2026-09-23 09:54:01.607 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=NEUTRAL new=BULL fast=2185.9000 slow=2186.1500
2026-09-23 09:56:01.263 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=BULL new=NEUTRAL fast=2186.0000 slow=2186.2000
2026-09-23 09:57:01.108 | INFO | CtaStrategy | [wqk27]  [V2.7 BB STATE] old=NEUTRAL new=COMPRESSION_HOLD percentile=9.17% bw=0.0013352803384052926 release_count=0 direction=BEAR
2026-09-23 09:58:01.399 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=NEUTRAL new=BEAR fast=2185.9000 slow=2186.1500
