2026-09-24 09:49:01.421 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=BEAR new=NEUTRAL fast=2176.2000 slow=2183.9500
2026-09-24 09:49:01.421 | INFO | CtaStrategy | [wqk27]  [V2.7 REGIME] ADX=SHORT MA=NEUTRAL BB=EXPANSION direction=BEAR Final=RANGE reason=REGIME_SHORT_MA_NEUTRAL
2026-09-24 09:50:01.444 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=NEUTRAL new=BEAR fast=2176.0000 slow=2183.0000
2026-09-24 09:50:01.444 | INFO | CtaStrategy | [wqk27]  [V2.7 REGIME] ADX=SHORT MA=BEAR BB=EXPANSION direction=BEAR Final=SHORT reason=REGIME_SHORT
2026-09-24 09:55:01.419 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=BEAR new=NEUTRAL fast=2175.3000 slow=2178.2500
2026-09-24 09:55:01.422 | INFO | CtaStrategy | [wqk27]  [V2.7 REGIME] ADX=SHORT MA=NEUTRAL BB=EXPANSION direction=BEAR Final=RANGE reason=REGIME_SHORT_MA_NEUTRAL
2026-09-24 09:56:01.437 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=NEUTRAL new=BEAR fast=2175.1000 slow=2177.3000
2026-09-24 09:56:01.439 | INFO | CtaStrategy | [wqk27]  [V2.7 REGIME] ADX=SHORT MA=BEAR BB=EXPANSION direction=BEAR Final=SHORT reason=REGIME_SHORT
2026-09-24 10:00:01.444 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=BEAR new=NEUTRAL fast=2174.3000 slow=2175.1500
2026-09-24 10:00:01.447 | INFO | CtaStrategy | [wqk27]  [V2.7 REGIME] ADX=SHORT MA=NEUTRAL BB=EXPANSION direction=BEAR Final=RANGE reason=REGIME_SHORT_MA_NEUTRAL
2026-09-24 10:01:01.699 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=NEUTRAL new=BEAR fast=2174.2000 slow=2174.9500
